#Variantes versión 3.4
#Catálogo 8 (Grado de estudios)
Sin instrucción, sin educación, sin ningún grado de estudio, No tengo estudios
No tengo estudios, Sin instrucción, sin educación, sin ningún grado de estudio
Saber leer, leer, comprensión de lectura
Saber escribir, escribir, escritura
Primaria, escuela primaria
Secundaria, escuela secundaria
Carrera comercial, educación comercial
Carrera técnica, educación técnica
Carrera trunca, trunca
Preparatoria, escuela preparatoria, educación preparatoria, educación media superior, prepa, bachillerato, nivel medio superior, medio superior, media superior
Técnico Superior Universitario, Técnico Superior
Licenciatura, educación superior, estudios universitarios, nivel superior
Maestría, educación especializada, estudios de posgrado, posgrado
Doctorado, especialización, estudios avanzados de posgrado, posgrado
Media jornada, medio tiempo
Jornada completa, tiempo completo
#Catálogo 9 (Carreras)
Artes gráficas grabado, Artes gráficas especializadas en grabado, Grabador 
Artes gráficas litografía, Artes gráficas especializadas en litografía
Artes gráficas serigrafía, Artes gráficas especializadas en serigrafía 
Artes en cerámica, Artes especializadas en cerámica  
Artes en escultura, Artes especializadas en escultura
Artes plásticas en escultura, Artes plásticas especializadas en escultura
Artes en fotografía, Artes especializadas en fotografía
Artes en pintura, Artes especializadas en pintura
Artes visuales en área de diseño, Artes visuales especializadas en área de diseño 
Artes visuales en artes plásticas, Artes visuales especializadas en artes plásticas 
Artes visuales en artes textiles, Artes visuales especializadas en artes textiles 
Artes visuales en dibujo, Artes visuales especializadas en dibujo 
Artes visuales en diseño gráfico, Artes visuales especializadas en diseño gráfico 
Artes visuales en escultura, Artes visuales especializadas en escultura 
Artes visuales en pintura, Artes visuales especializadas en pintura
Artes en danza, Artes especializadas en danza 
Artes en danza contemporánea, Artes especializadas en danza contemporánea 
Artes escénicas en danza contemporánea, Artes escénicas especializadas en danza contemporánea 
Artes escénicas en danza folklórica, Artes escénicas especializadas en danza folklórica
Artes en actuación, Artes especializadas en actuación 
Artes escénicas en teatro, Artes escénicas especializadas en teatro
Artes visuales en artes camarográficas, Artes visuales especializadas en artes camarográficas
Artes visuales en artes escenográficas, Artes visuales especializadas en artes escenográficas  
Artes visuales en arte urbano, Artes visuales especializadas en arte urbano 
Artes visuales en comunicación, Artes visuales especializadas en comunicación
Artes visuales en diseño gráfico, Artes visuales especializadas en diseño gráfico
Artes visuales en grabado, Artes visuales especializadas en grabado

Dibujo arquitectónico, Dibujo aplicado en arquitectura
Dibujo de planos arquitectónicos, Dibujo aplicado en planos arquitectónicos
Dibujo industrial, Dibujo aplicado en la industria
Dibujo mecánico, Dibujo aplicado en la mecánica
Dibujo publicitario, Dibujo aplicado en la publicidad
Dibujo industrial por computadora, Dibujo industrial diseñado por computadora
Dibujo de modas, Dibujo aplicado en la moda
Dibujo de tubería, Dibujo aplicado en sistemas de tubería
Dibujo topográfico, Dibujo aplicado en la topografía

Diseñador de modas, Diseño aplicado en la industria de la moda
Diseño por computadora, Diseño asistido por computadora
